항명,호출부호,선명,입항횟수,입항횟수,구분,외내,입출,총톤수,입항일시,출항일시,CIQ수속일자,수리일시,항해구분,MRN 번호,계선장소,계선장소,계선장소,차항지,전출항지,선박용도,"외항:한국인선원수
내항:해기사선원수","외항:외국인선원수
내항:보통선원수",승무원승선수,승무원하선수,승객승선수,승객하선수,승객,예선,도선,부선호출부호1,부선호출부호2
부산,796256,백경3,2004,001,최종,내항,출항,22,2004-01-01 00:00,2024-10-23 08:00,,2024-11-08 16:10,기타,,*YQ,01,기타 남항 사설조선소,기타항,기타항,석유제품 운반선,1,0,0,0,0,0,0,N,N,,
부산,058251,대은호,2016,002,최종,내항,출항,124,2016-08-16 16:15,2024-12-31 23:59,,,기타,,MW5,01,5물량장 1선석,기타항,고현,급유선,0,1,0,0,0,0,0,N,N,,
부산,915291,17금영호,2019,001,최종,내항,출항,22,2019-05-30 09:00,2024-08-29 15:00,,2024-09-02 15:59,폐선예정,,MQF,02,감천 선기조합조선소 안벽-02,기타항,삼천포,급유선,0,0,0,0,0,0,0,N,N,,
부산,JVNF8,SUNRISE,2019,001,최종,외항,출항,19,2019-11-21 18:00,2024-05-10 11:30,2024-05-10 10:30,2024-07-11 10:15,기타,24HSTI0425E,WAS,01,수영박지(집단박지),속초,HAKATA/FUKUOKA,수상레저기구,,1,,,,,2,N,N,,
부산,030713,청운호,2021,001,최초,내항,출항,121,2021-01-01 00:00,2024-09-30 00:00,,,기타,,MW5,01,5물량장 1선석,기타항,,석유제품 운반선,1,1,0,0,0,0,0,N,N,,
부산,DSDN4,성진1호,2021,001,최종,내항,출항,155,2021-08-18 12:10,2024-12-14 10:55,,2025-02-14 10:55,기타,,*NB,01,남부민방파제,기타항,인천,견인용예선,2,1,0,0,0,0,0,N,N,,
부산,930380,102진양호,2021,002,최종,내항,출항,44,2021-10-07 16:18,2024-05-02 06:50,,2024-05-13 15:40,기타,,OLT,01,대교동호안,기타항,기타항,견인용예선,2,0,0,0,0,0,0,N,N,,
부산,894035,대림,2021,016,최종,내항,출항,125,2021-12-11 10:50,2024-12-31 23:59,,,기타,,MW5,01,5물량장 1선석,기타항,기타항,석유제품 운반선,2,2,0,0,0,0,0,N,N,,
부산,110101,삼양티 2호,2022,001,최초,내항,출항,59,2022-01-02 08:00,2024-05-25 09:10,,,기타,,MDD,01,다대포조선소,기타항,기타항,기타 예선,1,1,0,0,0,0,0,N,N,,
부산,625765,103동성호,2022,001,최종,내항,출항,34,2022-01-13 20:30,2024-08-05 04:50,,2024-09-03 17:35,기타,,MDD,01,다대포조선소,기타항,기타항,견인용예선,1,0,0,0,0,0,0,N,N,,
부산,200044,해수-1호,2022,002,최종,내항,출항,140,2022-04-25 13:45,2024-02-03 08:00,,2024-04-18 12:42,기타,,MWB,01,봉래동물량장,기타항,기타항,견인용예선,3,0,0,0,0,0,0,N,N,,
